Date,EFA,Clearing Price
2024-01-01,1,1.14
2024-01-01,2,0.78
2024-01-01,3,1.34
2024-01-01,4,1.25
2024-01-01,5,5.61
2024-01-01,6,1.73
2024-01-02,1,0.95
2024-01-02,2,0.8
2024-01-02,3,1.34
2024-01-02,4,1.05
2024-01-02,5,1.99
2024-01-02,6,1.3
2024-01-03,1,0.55
2024-01-03,2,0.65
2024-01-03,3,1.3
2024-01-03,4,1.07
2024-01-03,5,3.01
2024-01-03,6,1.29
2024-01-04,1,0.88
2024-01-04,2,0.62
2024-01-04,3,1.22
2024-01-04,4,1.24
2024-01-04,5,3.28
2024-01-04,6,1.25
2024-01-05,1,0.78
2024-01-05,2,0.63
2024-01-05,3,1.42
2024-01-05,4,1.08
2024-01-05,5,2.5
2024-01-05,6,1.5
2024-01-06,1,0.43
2024-01-06,2,0.55
2024-01-06,3,1.41
2024-01-06,4,1.05
2024-01-06,5,2.68
2024-01-06,6,1.51
2024-01-07,1,0.7
2024-01-07,2,0.95
2024-01-07,3,1.46
2024-01-07,4,0.86
2024-01-07,5,2.84
2024-01-07,6,1.56
2024-01-08,1,0.72
2024-01-08,2,0.85
2024-01-08,3,1.19
2024-01-08,4,0.96
2024-01-08,5,9.21
2024-01-08,6,1.57
2024-01-09,1,0.94
2024-01-09,2,0.87
2024-01-09,3,1.28
2024-01-09,4,1.13
2024-01-09,5,9.82
2024-01-09,6,1.6799999999999995
2024-01-10,1,0.69
2024-01-10,2,0.9
2024-01-10,3,1.28
2024-01-10,4,1.1
2024-01-10,5,5.07
2024-01-10,6,1.62
2024-01-11,1,1.3
2024-01-11,2,0.82
2024-01-11,3,1.91
2024-01-11,4,1.12
2024-01-11,5,3.17
2024-01-11,6,1.44
2024-01-12,1,0.69
2024-01-12,2,0.82
2024-01-12,3,1.4
2024-01-12,4,0.7200000000000001
2024-01-12,5,1.6100000000000003
2024-01-12,6,1.33
2024-01-13,1,-0.25
2024-01-13,2,0.02
2024-01-13,3,1.11
2024-01-13,4,0.6
2024-01-13,5,1.26
2024-01-13,6,0.95
2024-01-14,1,0.22
2024-01-14,2,-0.02
2024-01-14,3,1.0
2024-01-14,4,0.5
2024-01-14,5,1.4299999999999995
2024-01-14,6,0.9
2024-01-15,1,-0.29
2024-01-15,2,-0.71
2024-01-15,3,1.1700000000000002
2024-01-15,4,0.74
2024-01-15,5,6.2
2024-01-15,6,1.4600000000000002
2024-01-16,1,0.63
2024-01-16,2,0.7
2024-01-16,3,1.53
2024-01-16,4,1.06
2024-01-16,5,5.5
2024-01-16,6,1.4899999999999998
2024-01-17,1,0.69
2024-01-17,2,0.5
2024-01-17,3,1.44
2024-01-17,4,0.98
2024-01-17,5,8.75
2024-01-17,6,1.81
2024-01-18,1,0.63
2024-01-18,2,0.64
2024-01-18,3,1.5
2024-01-18,4,0.71
2024-01-18,5,11.82
2024-01-18,6,1.28
2024-01-19,1,0.66
2024-01-19,2,0.78
2024-01-19,3,1.35
2024-01-19,4,0.95
2024-01-19,5,1.49
2024-01-19,6,1.22
2024-01-20,1,0.55
2024-01-20,2,0.7
2024-01-20,3,1.25
2024-01-20,4,0.7400000000000001
2024-01-20,5,1.14
2024-01-20,6,1.0
2024-01-21,1,0.55
2024-01-21,2,0.55
2024-01-21,3,0.94
2024-01-21,4,0.71
2024-01-21,5,1.83
2024-01-21,6,1.08
2024-01-22,1,0.75
2024-01-22,2,0.98
2024-01-22,3,1.81
2024-01-22,4,1.08
2024-01-22,5,2.61
2024-01-22,6,1.49
2024-01-23,1,0.6
2024-01-23,2,0.89
2024-01-23,3,4.31
2024-01-23,4,0.8
2024-01-23,5,2.37
2024-01-23,6,1.12
