Date,EFA,Clearing Price
2023-01-01,1,2.49
2023-01-01,2,3.5
2023-01-01,3,3.5
2023-01-01,4,2.36
2023-01-01,5,4.01
2023-01-01,6,2.36
2023-01-02,1,2.55
2023-01-02,2,2.9
2023-01-02,3,3.0
2023-01-02,4,2.55
2023-01-02,5,8.25
2023-01-02,6,2.55
2023-01-03,1,2.55
2023-01-03,2,2.55
2023-01-03,3,2.55
2023-01-03,4,1.28
2023-01-03,5,2.55
2023-01-03,6,3.38
2023-01-04,1,2.05
2023-01-04,2,5.95
2023-01-04,3,2.1
2023-01-04,4,1.26
2023-01-04,5,8.89
2023-01-04,6,4.0
2023-01-05,1,2.5
2023-01-05,2,3.0
2023-01-05,3,2.49
2023-01-05,4,1.58
2023-01-05,5,2.5
2023-01-05,6,3.0
2023-01-06,1,11.35
2023-01-06,2,6.86
2023-01-06,3,6.25
2023-01-06,4,4.5
2023-01-06,5,17.02
2023-01-06,6,4.95
2023-01-07,1,1.76
2023-01-07,2,2.73
2023-01-07,3,2.9
2023-01-07,4,2.94
2023-01-07,5,2.58
2023-01-07,6,2.55
2023-01-08,1,2.05
2023-01-08,2,2.05
2023-01-08,3,3.0
2023-01-08,4,2.05
2023-01-08,5,3.0
2023-01-08,6,4.0
2023-01-09,1,3.0
2023-01-09,2,2.42
2023-01-09,3,2.69
2023-01-09,4,3.2
2023-01-09,5,4.3
2023-01-09,6,2.55
2023-01-10,1,2.66
2023-01-10,2,2.23
2023-01-10,3,2.99
2023-01-10,4,1.85
2023-01-10,5,4.9
2023-01-10,6,2.96
2023-01-11,1,2.97
2023-01-11,2,3.13
2023-01-11,3,2.63
2023-01-11,4,1.94
2023-01-11,5,4.99
2023-01-11,6,2.96
2023-01-12,1,2.54
2023-01-12,2,4.38
2023-01-12,3,6.99
2023-01-12,4,3.09
2023-01-12,5,19.48
2023-01-12,6,14.6
2023-01-13,1,3.0
2023-01-13,2,2.52
2023-01-13,3,2.62
2023-01-13,4,2.49
2023-01-13,5,7.3
2023-01-13,6,2.9
2023-01-14,1,4.16
2023-01-14,2,4.95
2023-01-14,3,7.45
2023-01-14,4,2.95
2023-01-14,5,2.66
2023-01-14,6,4.59
2023-01-15,1,2.53
2023-01-15,2,4.95
2023-01-15,3,19.42
2023-01-15,4,2.95
2023-01-15,5,10.35
2023-01-15,6,2.96
2023-01-16,1,2.53
2023-01-16,2,3.97
2023-01-16,3,3.1
2023-01-16,4,1.5
2023-01-16,5,32.89
2023-01-16,6,8.9
2023-01-17,1,1.1
2023-01-17,2,2.5
2023-01-17,3,3.01
2023-01-17,4,2.19
2023-01-17,5,29.8
2023-01-17,6,4.6
2023-01-18,1,2.35
2023-01-18,2,3.86
2023-01-18,3,3.14
2023-01-18,4,1.58
2023-01-18,5,22.19
2023-01-18,6,3.0
2023-01-19,1,2.37
2023-01-19,2,1.95
2023-01-19,3,2.76
2023-01-19,4,3.09
2023-01-19,5,6.08
2023-01-19,6,4.97
2023-01-20,1,2.46
2023-01-20,2,2.54
2023-01-20,3,4.38
2023-01-20,4,2.94
2023-01-20,5,25.0
2023-01-20,6,4.0
2023-01-21,1,0.98
2023-01-21,2,2.04
2023-01-21,3,3.31
2023-01-21,4,1.74
2023-01-21,5,3.04
2023-01-21,6,2.75
2023-01-22,1,2.1
2023-01-22,2,2.04
2023-01-22,3,5.97
2023-01-22,4,3.09
2023-01-22,5,6.17
2023-01-22,6,2.9
2023-01-23,1,2.06
2023-01-23,2,2.54
2023-01-23,3,3.42
2023-01-23,4,3.09
2023-01-23,5,44.85
2023-01-23,6,4.0
2023-01-24,1,2.5
2023-01-24,2,1.89
2023-01-24,3,2.77
2023-01-24,4,1.9
2023-01-24,5,25.0
2023-01-24,6,6.54
2023-01-25,1,2.5
2023-01-25,2,2.9
2023-01-25,3,4.86
2023-01-25,4,5.81
2023-01-25,5,14.5
2023-01-25,6,4.4
2023-01-26,1,2.5
2023-01-26,2,2.5
2023-01-26,3,2.76
2023-01-26,4,2.18
2023-01-26,5,2.18
2023-01-26,6,4.6
2023-01-27,1,1.16
2023-01-27,2,1.95
2023-01-27,3,5.87
2023-01-27,4,6.7
2023-01-27,5,16.92
2023-01-27,6,2.93
2023-01-28,1,1.46
2023-01-28,2,2.04
2023-01-28,3,2.32
2023-01-28,4,1.49
2023-01-28,5,3.17
2023-01-28,6,2.0
2023-01-29,1,2.23
2023-01-29,2,2.49
2023-01-29,3,3.23
2023-01-29,4,1.95
2023-01-29,5,7.39
2023-01-29,6,2.95
2023-01-30,1,1.66
2023-01-30,2,2.68
2023-01-30,3,2.95
2023-01-30,4,1.96
2023-01-30,5,13.3
2023-01-30,6,2.67
2023-01-31,1,2.48
2023-01-31,2,2.5
2023-01-31,3,2.9
2023-01-31,4,2.5
2023-01-31,5,26.05
2023-01-31,6,6.43
2023-02-01,1,2.38
2023-02-01,2,2.5
2023-02-01,3,6.6
2023-02-01,4,1.67
2023-02-01,5,3.57
