Date,EFA,Clearing Price
2023-02-10,6,0.85
2023-02-11,1,0.77
2023-02-11,2,0.85
2023-02-11,3,0.64
2023-02-11,4,1.2
2023-02-11,5,0.49
2023-02-11,6,0.59
2023-02-12,1,0.83
2023-02-12,2,0.63
2023-02-12,3,0.56
2023-02-12,4,1.2
2023-02-12,5,0.49
2023-02-12,6,0.88
2023-02-13,1,0.78
2023-02-13,2,0.85
2023-02-13,3,0.5
2023-02-13,4,0.77
2023-02-13,5,0.74
2023-02-13,6,0.8
2023-02-14,1,0.75
2023-02-14,2,0.61
2023-02-14,3,0.64
2023-02-14,4,0.69
2023-02-14,5,0.5
2023-02-14,6,0.69
2023-02-15,1,0.85
2023-02-15,2,4.93
2023-02-15,3,0.93
2023-02-15,4,1.15
2023-02-15,5,0.68
2023-02-15,6,0.53
2023-02-16,1,1.19
2023-02-16,2,1.81
2023-02-16,3,0.65
2023-02-16,4,0.75
2023-02-16,5,0.51
2023-02-16,6,2.0
2023-02-17,1,1.55
2023-02-17,2,4.88
2023-02-17,3,1.3
2023-02-17,4,1.49
2023-02-17,5,1.91
2023-02-17,6,1.09
2023-02-18,1,1.4
2023-02-18,2,2.16
2023-02-18,3,0.66
2023-02-18,4,1.11
2023-02-18,5,0.51
2023-02-18,6,0.6
2023-02-19,1,0.77
2023-02-19,2,1.3
2023-02-19,3,0.95
2023-02-19,4,1.77
2023-02-19,5,0.6
2023-02-19,6,1.11
2023-02-20,1,0.92
2023-02-20,2,2.74
2023-02-20,3,0.87
2023-02-20,4,0.9
2023-02-20,5,1.9
2023-02-20,6,0.97
2023-02-21,1,0.79
2023-02-21,2,3.4
2023-02-21,3,0.72
2023-02-21,4,1.01
2023-02-21,5,0.51
2023-02-21,6,0.67
2023-02-22,1,0.79
2023-02-22,2,2.9
2023-02-22,3,0.5
2023-02-22,4,0.81
2023-02-22,5,0.5
2023-02-22,6,0.75
2023-02-23,1,0.8
2023-02-23,2,1.81
2023-02-23,3,0.44
2023-02-23,4,0.66
2023-02-23,5,0.5
2023-02-23,6,0.75
2023-02-24,1,0.81
2023-02-24,2,2.56
2023-02-24,3,0.57
2023-02-24,4,0.6
2023-02-24,5,0.51
2023-02-24,6,0.57
2023-02-25,1,1.49
2023-02-25,2,3.56
2023-02-25,3,0.64
2023-02-25,4,2.52
2023-02-25,5,1.53
2023-02-25,6,0.87
2023-02-26,1,0.77
2023-02-26,2,0.86
2023-02-26,3,0.64
2023-02-26,4,0.73
2023-02-26,5,0.51
2023-02-26,6,0.6
2023-02-27,1,3.2
2023-02-27,2,5.1
2023-02-27,3,0.8
2023-02-27,4,0.7
2023-02-27,5,2.74
2023-02-27,6,0.9
2023-02-28,1,0.8
2023-02-28,2,2.79
2023-02-28,3,0.51
2023-02-28,4,0.67
2023-02-28,5,2.72
2023-02-28,6,3.4
2023-03-01,1,0.79
2023-03-01,2,0.94
2023-03-01,3,0.27
2023-03-01,4,1.78
2023-03-01,5,0.89
2023-03-01,6,0.03
2023-03-02,1,0.54
2023-03-02,2,0.86
2023-03-02,3,0.01
2023-03-02,4,0.26
2023-03-02,5,0.0
2023-03-02,6,0.61
2023-03-03,1,0.68
2023-03-03,2,1.09
2023-03-03,3,0.62
2023-03-03,4,0.0
2023-03-03,5,0.0
2023-03-03,6,0.56
2023-03-04,1,0.72
2023-03-04,2,0.86
2023-03-04,3,0.65
2023-03-04,4,1.18
2023-03-04,5,1.01
2023-03-04,6,0.61
2023-03-05,1,0.29
2023-03-05,2,0.01
2023-03-05,3,0.04
2023-03-05,4,0.03
2023-03-05,5,0.0
2023-03-05,6,0.13
2023-03-06,1,1.0
2023-03-06,2,1.9
2023-03-06,3,0.44
2023-03-06,4,0.01
2023-03-06,5,0.49
2023-03-06,6,0.5
2023-03-07,1,0.54
2023-03-07,2,0.86
2023-03-07,3,0.14
2023-03-07,4,0.23
2023-03-07,5,0.0
2023-03-07,6,0.01
2023-03-08,1,0.58
2023-03-08,2,0.98
2023-03-08,3,0.5
2023-03-08,4,0.5
2023-03-08,5,0.51
2023-03-08,6,0.92
2023-03-09,1,1.18
2023-03-09,2,1.08
2023-03-09,3,0.89
2023-03-09,4,0.5
2023-03-09,5,0.51
2023-03-09,6,1.44
2023-03-10,1,1.03
2023-03-10,2,5.0
2023-03-10,3,0.48
2023-03-10,4,1.02
2023-03-10,5,0.52
2023-03-10,6,0.51
2023-03-11,1,0.77
2023-03-11,2,0.81
2023-03-11,3,0.25
2023-03-11,4,0.63
2023-03-11,5,0.51
2023-03-11,6,2.05
2023-03-12,1,5.0
2023-03-12,2,4.95
2023-03-12,3,4.3
2023-03-12,4,3.0
2023-03-12,5,4.0
2023-03-12,6,3.08
2023-03-13,1,1.95
2023-03-13,2,5.29
2023-03-13,3,2.25
2023-03-13,4,3.42
2023-03-13,5,2.0
2023-03-13,6,4.0
2023-03-14,1,3.95
2023-03-14,2,5.5
2023-03-14,3,0.5
2023-03-14,4,2.0
2023-03-14,5,0.52
2023-03-14,6,0.4
2023-03-15,1,2.5
2023-03-15,2,4.0
2023-03-15,3,0.5
2023-03-15,4,0.93
2023-03-15,5,0.38
2023-03-15,6,2.95
2023-03-16,1,2.4
2023-03-16,2,4.2
2023-03-16,3,1.08
2023-03-16,4,1.69
2023-03-16,5,1.12
2023-03-16,6,0.7
2023-03-17,1,5.41
2023-03-17,2,5.48
2023-03-17,3,0.5
2023-03-17,4,0.64
2023-03-17,5,0.42
2023-03-17,6,0.27
2023-03-18,1,3.79
2023-03-18,2,2.77
2023-03-18,3,1.7
2023-03-18,4,3.16
2023-03-18,5,0.46
2023-03-18,6,0.63
2023-03-19,1,5.56
2023-03-19,2,5.56
2023-03-19,3,5.56
2023-03-19,4,5.56
2023-03-19,5,2.13
2023-03-19,6,2.57
2023-03-20,1,5.0
2023-03-20,2,5.44
2023-03-20,3,0.83
2023-03-20,4,3.49
2023-03-20,5,0.48
2023-03-20,6,1.35
2023-03-21,1,5.0
2023-03-21,2,5.64
2023-03-21,3,4.45
2023-03-21,4,8.0
2023-03-21,5,4.95
2023-03-21,6,5.82
2023-03-22,1,2.0
2023-03-22,2,8.0
2023-03-22,3,0.89
2023-03-22,4,5.28
2023-03-22,5,1.54
2023-03-22,6,3.5
2023-03-23,1,2.0
2023-03-23,2,5.73
2023-03-23,3,0.99
2023-03-23,4,0.83
2023-03-23,5,2.95
2023-03-23,6,3.25
2023-03-24,1,5.0
2023-03-24,2,10.0
2023-03-24,3,3.34
2023-03-24,4,3.28
2023-03-24,5,1.21
2023-03-24,6,0.94
2023-03-25,1,2.09
2023-03-25,2,3.49
2023-03-25,3,2.15
2023-03-25,4,2.01
2023-03-25,5,2.46
2023-03-25,6,3.16
2023-03-26,1,4.95
2023-03-26,2,20.26
2023-03-26,3,5.95
2023-03-26,4,7.25
2023-03-26,5,6.95
2023-03-26,6,4.19
2023-03-27,1,13.93
2023-03-27,2,30.0
2023-03-27,3,5.21
2023-03-27,4,4.95
2023-03-27,5,4.95
2023-03-27,6,2.01
2023-03-28,1,4.8
2023-03-28,2,5.19
2023-03-28,3,3.16
2023-03-28,4,5.85
2023-03-28,5,4.21
2023-03-28,6,10.0
2023-03-29,1,12.42
2023-03-29,2,60.15
2023-03-29,3,5.44
2023-03-29,4,6.64
2023-03-29,5,7.0
2023-03-29,6,8.0
2023-03-30,1,6.59
2023-03-30,2,5.19
2023-03-30,3,4.22
2023-03-30,4,8.0
2023-03-30,5,8.1
2023-03-30,6,4.33
2023-03-31,1,5.0
2023-03-31,2,33.22
2023-03-31,3,3.2
2023-03-31,4,4.0
2023-03-31,5,2.0
2023-03-31,6,5.0
2023-04-01,1,8.0
2023-04-01,2,22.0
2023-04-01,3,7.0
2023-04-01,4,8.0
2023-04-01,5,3.16
2023-04-01,6,14.41
2023-04-02,1,10.0
2023-04-02,2,22.0
2023-04-02,3,5.13
2023-04-02,4,9.0
2023-04-02,5,5.0
2023-04-02,6,5.0
2023-04-03,1,8.5
2023-04-03,2,12.0
2023-04-03,3,3.19
2023-04-03,4,8.0
2023-04-03,5,3.06
2023-04-03,6,5.0
2023-04-04,1,10.0
2023-04-04,2,11.0
2023-04-04,3,5.0
2023-04-04,4,8.0
2023-04-04,5,5.0
2023-04-04,6,3.56
2023-04-05,1,7.5
2023-04-05,2,10.0
2023-04-05,3,5.0
2023-04-05,4,7.4
2023-04-05,5,6.5
2023-04-05,6,5.4
2023-04-06,1,6.05
2023-04-06,2,6.05
2023-04-06,3,6.87
2023-04-06,4,7.94
2023-04-06,5,6.05
2023-04-06,6,6.05
2023-04-07,1,5.6
2023-04-07,2,3.23
2023-04-07,3,4.5
2023-04-07,4,6.5
2023-04-07,5,4.5
2023-04-07,6,3.0
2023-04-08,1,4.5
2023-04-08,2,3.0
2023-04-08,3,4.5
2023-04-08,4,8.0
2023-04-08,5,4.5
2023-04-08,6,5.5
2023-04-09,1,4.5
2023-04-09,2,3.1
2023-04-09,3,4.5
2023-04-09,4,8.0
2023-04-09,5,4.65
2023-04-09,6,5.4
2023-04-10,1,3.15
2023-04-10,2,4.5
2023-04-10,3,4.5
2023-04-10,4,6.43
2023-04-10,5,4.78
2023-04-10,6,5.5
2023-04-11,1,2.5
2023-04-11,2,4.5
2023-04-11,3,3.97
2023-04-11,4,6.5
2023-04-11,5,4.5
2023-04-11,6,5.4
2023-04-12,1,4.5
2023-04-12,2,4.86
2023-04-12,3,7.78
2023-04-12,4,5.83
2023-04-12,5,4.89
2023-04-12,6,5.67
2023-04-13,1,3.92
2023-04-13,2,9.0
2023-04-13,3,7.03
2023-04-13,4,7.0
2023-04-13,5,7.57
2023-04-13,6,0.89
2023-04-14,1,8.0
2023-04-14,2,16.0
2023-04-14,3,7.0
2023-04-14,4,7.0
2023-04-14,5,3.0
2023-04-14,6,3.0
2023-04-15,1,8.0
2023-04-15,2,12.0
2023-04-15,3,3.45
2023-04-15,4,8.0
2023-04-15,5,3.0
2023-04-15,6,3.31
2023-04-16,1,3.0
2023-04-16,2,9.32
2023-04-16,3,7.0
2023-04-16,4,8.5
2023-04-16,5,9.47
2023-04-16,6,1.6
2023-04-17,1,3.0
2023-04-17,2,12.0
2023-04-17,3,6.33
2023-04-17,4,8.5
2023-04-17,5,4.25
2023-04-17,6,4.43
2023-04-18,1,8.0
2023-04-18,2,7.0
2023-04-18,3,3.1
2023-04-18,4,8.0
2023-04-18,5,25.0
2023-04-18,6,2.66
2023-04-19,1,8.0
2023-04-19,2,6.12
2023-04-19,3,15.0
2023-04-19,4,25.0
2023-04-19,5,7.66
2023-04-19,6,7.55
2023-04-20,1,13.76
2023-04-20,2,9.0
2023-04-20,3,7.0
2023-04-20,4,7.96
2023-04-20,5,7.66
2023-04-20,6,7.55
2023-04-21,1,7.0
2023-04-21,2,6.12
2023-04-21,3,3.0
2023-04-21,4,8.9
2023-04-21,5,7.0
2023-04-21,6,2.21
2023-04-22,1,8.5
2023-04-22,2,8.0
2023-04-22,3,4.13
2023-04-22,4,3.8
2023-04-22,5,4.79
2023-04-22,6,6.21
2023-04-23,1,3.04
2023-04-23,2,3.0
2023-04-23,3,3.0
2023-04-23,4,3.24
2023-04-23,5,3.21
2023-04-23,6,3.0
2023-04-24,1,3.0
2023-04-24,2,3.18
2023-04-24,3,3.0
2023-04-24,4,3.0
2023-04-24,5,3.12
2023-04-24,6,3.0
2023-04-25,1,3.45
2023-04-25,2,3.45
2023-04-25,3,2.1
2023-04-25,4,3.45
2023-04-25,5,2.16
2023-04-25,6,2.0
2023-04-26,1,3.24
2023-04-26,2,3.24
2023-04-26,3,3.24
2023-04-26,4,3.93
2023-04-26,5,4.03
2023-04-26,6,3.24
2023-04-27,1,5.7
2023-04-27,2,8.0
2023-04-27,3,5.85
2023-04-27,4,8.0
2023-04-27,5,5.3
2023-04-27,6,4.99
2023-04-28,1,3.33
2023-04-28,2,3.33
2023-04-28,3,3.0
2023-04-28,4,4.5
2023-04-28,5,5.5
2023-04-28,6,3.0
2023-04-29,1,3.82
2023-04-29,2,3.0
2023-04-29,3,3.01
2023-04-29,4,3.91
2023-04-29,5,5.0
2023-04-29,6,3.0
2023-04-30,1,8.82
2023-04-30,2,25.0
2023-04-30,3,4.14
2023-04-30,4,8.0
2023-04-30,5,3.12
2023-04-30,6,3.12
2023-05-01,1,3.42
2023-05-01,2,3.42
2023-05-01,3,3.78
2023-05-01,4,3.42
2023-05-01,5,3.5
2023-05-01,6,4.11
2023-05-02,1,3.16
2023-05-02,2,3.5
2023-05-02,3,3.25
2023-05-02,4,3.65
2023-05-02,5,4.64
2023-05-02,6,3.51
2023-05-03,1,3.0
2023-05-03,2,3.0
2023-05-03,3,3.49
2023-05-03,4,4.01
2023-05-03,5,4.23
2023-05-03,6,3.21
2023-05-04,1,3.32
2023-05-04,2,3.94
2023-05-04,3,3.94
2023-05-04,4,4.01
2023-05-04,5,4.23
2023-05-04,6,4.23
2023-05-05,1,3.63
2023-05-05,2,4.03
2023-05-05,3,3.63
2023-05-05,4,4.01
2023-05-05,5,4.58
2023-05-05,6,3.91
2023-05-06,1,3.0
2023-05-06,2,8.5
2023-05-06,3,3.27
2023-05-06,4,8.0
2023-05-06,5,5.03
2023-05-06,6,7.03
2023-05-07,1,4.03
2023-05-07,2,4.03
2023-05-07,3,4.01
2023-05-07,4,5.48
2023-05-07,5,3.76
2023-05-07,6,3.27
2023-05-08,1,3.0
2023-05-08,2,4.3
2023-05-08,3,4.2
2023-05-08,4,8.0
2023-05-08,5,4.2
2023-05-08,6,3.27
2023-05-09,1,3.5
2023-05-09,2,2.78
2023-05-09,3,3.44
2023-05-09,4,3.73
2023-05-09,5,3.66
2023-05-09,6,2.33
2023-05-10,1,3.0
2023-05-10,2,3.0
2023-05-10,3,3.82
2023-05-10,4,3.26
2023-05-10,5,3.21
2023-05-10,6,3.26
2023-05-11,1,3.0
2023-05-11,2,4.18
2023-05-11,3,3.67
2023-05-11,4,3.72
2023-05-11,5,3.0
2023-05-11,6,3.0
2023-05-12,1,3.29
2023-05-12,2,3.78
2023-05-12,3,4.06
2023-05-12,4,4.84
2023-05-12,5,3.0
2023-05-12,6,3.0
2023-05-13,1,3.01
2023-05-13,2,4.38
2023-05-13,3,2.33
2023-05-13,4,2.15
2023-05-13,5,3.0
2023-05-13,6,2.0
2023-05-14,1,3.29
2023-05-14,2,3.78
2023-05-14,3,4.06
2023-05-14,4,4.84
2023-05-14,5,3.2
2023-05-14,6,3.86
2023-05-15,1,3.29
2023-05-15,2,2.88
2023-05-15,3,4.06
2023-05-15,4,4.91
2023-05-15,5,3.0
2023-05-15,6,3.0
2023-05-16,1,2.0
2023-05-16,2,3.99
2023-05-16,3,4.87
2023-05-16,4,4.03
2023-05-16,5,3.12
2023-05-16,6,4.51
2023-05-17,1,3.82
2023-05-17,2,4.32
2023-05-17,3,4.2
2023-05-17,4,2.93
2023-05-17,5,3.41
2023-05-17,6,2.93
2023-05-18,1,4.79
2023-05-18,2,3.05
2023-05-18,3,4.49
2023-05-18,4,3.99
2023-05-18,5,3.84
2023-05-18,6,4.5
2023-05-19,1,3.72
2023-05-19,2,4.81
2023-05-19,3,2.3
2023-05-19,4,4.01
2023-05-19,5,3.99
2023-05-19,6,2.27
2023-05-20,1,3.0
2023-05-20,2,3.5
2023-05-20,3,3.8
2023-05-20,4,4.4
2023-05-20,5,3.4
2023-05-20,6,3.4
2023-05-21,1,2.39
2023-05-21,2,3.78
2023-05-21,3,3.4
2023-05-21,4,4.72
2023-05-21,5,3.4
2023-05-21,6,2.0
2023-05-22,1,3.22
2023-05-22,2,3.01
2023-05-22,3,3.35
2023-05-22,4,4.72
2023-05-22,5,3.64
2023-05-22,6,2.94
2023-05-23,1,2.0
2023-05-23,2,3.51
2023-05-23,3,2.0
2023-05-23,4,4.32
2023-05-23,5,2.0
2023-05-23,6,1.37
2023-05-24,1,4.0
2023-05-24,2,3.5
2023-05-24,3,3.96
2023-05-24,4,5.44
2023-05-24,5,3.96
2023-05-24,6,1.37
2023-05-25,1,3.9
2023-05-25,2,3.9
2023-05-25,3,3.9
2023-05-25,4,6.0
2023-05-25,5,4.6
2023-05-25,6,3.9
2023-05-26,1,5.0
2023-05-26,2,7.88
2023-05-26,3,4.0
2023-05-26,4,5.0
2023-05-26,5,6.0
2023-05-26,6,4.0
2023-05-27,1,2.0
2023-05-27,2,2.0
2023-05-27,3,2.53
2023-05-27,4,6.35
2023-05-27,5,6.53
2023-05-27,6,2.99
2023-05-28,1,1.27
2023-05-28,2,2.0
2023-05-28,3,4.0
2023-05-28,4,8.23
2023-05-28,5,13.0
2023-05-28,6,2.76
2023-05-29,1,1.5
2023-05-29,2,3.51
2023-05-29,3,3.8
2023-05-29,4,7.8
2023-05-29,5,5.7
2023-05-29,6,2.49
2023-05-30,1,2.48
2023-05-30,2,2.12
2023-05-30,3,4.67
2023-05-30,4,8.0
2023-05-30,5,6.8
2023-05-30,6,3.48
2023-05-31,1,4.2
2023-05-31,2,10.8
2023-05-31,3,1.2
2023-05-31,4,10.0
2023-05-31,5,5.48
2023-05-31,6,6.0
2023-06-01,1,4.0
2023-06-01,2,9.0
2023-06-01,3,2.15
2023-06-01,4,4.02
2023-06-01,5,9.0
2023-06-01,6,7.0
2023-06-02,1,2.0
2023-06-02,2,2.38
2023-06-02,3,0.83
2023-06-02,4,5.0
2023-06-02,5,5.68
2023-06-02,6,2.28
2023-06-03,1,2.0
2023-06-03,2,2.0
2023-06-03,3,4.5
2023-06-03,4,6.0
2023-06-03,5,8.0
2023-06-03,6,6.0
2023-06-04,1,2.0
2023-06-04,2,4.31
2023-06-04,3,2.1
2023-06-04,4,6.0
2023-06-04,5,7.72
2023-06-04,6,3.0
2023-06-05,1,2.0
2023-06-05,2,4.18
2023-06-05,3,2.0
2023-06-05,4,6.0
2023-06-05,5,6.0
2023-06-05,6,2.0
2023-06-06,1,2.37
2023-06-06,2,4.4
2023-06-06,3,4.0
2023-06-06,4,2.16
2023-06-06,5,3.48
2023-06-06,6,0.85
2023-06-07,1,2.0
2023-06-07,2,4.31
2023-06-07,3,2.0
2023-06-07,4,4.58
2023-06-07,5,6.0
2023-06-07,6,1.49
2023-06-08,1,3.67
2023-06-08,2,7.17
2023-06-08,3,5.48
2023-06-08,4,11.0
2023-06-08,5,5.62
2023-06-08,6,2.69
2023-06-09,1,3.67
2023-06-09,2,3.89
2023-06-09,3,11.0
2023-06-09,4,5.8
2023-06-09,5,3.5
2023-06-09,6,5.25
2023-06-10,1,2.79
2023-06-10,2,4.5
2023-06-10,3,3.14
2023-06-10,4,8.5
2023-06-10,5,4.27
2023-06-10,6,4.52
2023-06-11,1,4.23
2023-06-11,2,9.0
2023-06-11,3,3.31
2023-06-11,4,3.48
2023-06-11,5,6.49
2023-06-11,6,2.47
2023-06-12,1,7.0
2023-06-12,2,8.0
2023-06-12,3,2.0
2023-06-12,4,4.11
2023-06-12,5,2.21
2023-06-12,6,2.69
2023-06-13,1,3.86
2023-06-13,2,8.0
2023-06-13,3,3.5
2023-06-13,4,5.59
2023-06-13,5,7.4
2023-06-13,6,5.49
2023-06-14,1,11.0
2023-06-14,2,4.53
2023-06-14,3,3.5
2023-06-14,4,3.64
2023-06-14,5,4.0
2023-06-14,6,1.73
2023-06-15,1,35.0
2023-06-15,2,35.0
2023-06-15,3,12.89
2023-06-15,4,8.0
2023-06-15,5,11.0
2023-06-15,6,2.74
2023-06-16,1,4.2
2023-06-16,2,4.2
2023-06-16,3,2.0
2023-06-16,4,3.8
2023-06-16,5,2.0
2023-06-16,6,1.11
2023-06-17,1,2.0
2023-06-17,2,5.03
2023-06-17,3,2.89
2023-06-17,4,8.0
2023-06-17,5,4.5
2023-06-17,6,1.49
2023-06-18,1,4.2
2023-06-18,2,2.78
2023-06-18,3,2.89
2023-06-18,4,4.2
2023-06-18,5,4.5
2023-06-18,6,2.25
2023-06-19,1,3.08
2023-06-19,2,8.0
2023-06-19,3,2.88
2023-06-19,4,2.4
2023-06-19,5,4.16
2023-06-19,6,2.0
2023-06-20,1,3.71
2023-06-20,2,4.21
2023-06-20,3,3.0
2023-06-20,4,2.0
2023-06-20,5,3.0
2023-06-20,6,2.0
2023-06-21,1,2.2
2023-06-21,2,4.78
2023-06-21,3,2.7
2023-06-21,4,2.0
2023-06-21,5,2.0
2023-06-21,6,1.66
2023-06-22,1,3.72
2023-06-22,2,4.8
2023-06-22,3,2.43
2023-06-22,4,4.42
2023-06-22,5,5.7
2023-06-22,6,1.34
2023-06-23,1,6.82
2023-06-23,2,2.0
2023-06-23,3,2.53
2023-06-23,4,5.0
2023-06-23,5,3.99
2023-06-23,6,3.5
2023-06-24,1,4.0
2023-06-24,2,4.0
2023-06-24,3,3.04
2023-06-24,4,9.69
2023-06-24,5,9.69
2023-06-24,6,1.9
2023-06-25,1,2.81
2023-06-25,2,3.4
2023-06-25,3,3.07
2023-06-25,4,14.69
2023-06-25,5,9.0
2023-06-25,6,4.4
2023-06-26,1,3.8
2023-06-26,2,2.32
2023-06-26,3,2.56
2023-06-26,4,4.84
2023-06-26,5,4.12
2023-06-26,6,2.13
2023-06-27,1,7.0
2023-06-27,2,3.73
2023-06-27,3,2.72
2023-06-27,4,5.0
2023-06-27,5,3.8
2023-06-27,6,1.49
2023-06-28,1,6.65
2023-06-28,2,9.72
2023-06-28,3,3.01
2023-06-28,4,2.71
2023-06-28,5,5.05
2023-06-28,6,2.24
